2026-06-11 | plan | Initial plan created: DESIGN.md + 10 tracer-bullet slices (01 tracer bullet → 10 packaging)
2026-06-11 | slice-01 | started
2026-06-11 | slice-01 | done — unit+integration tests pass, model download/reuse verified, app launches; human mic/paste verification pending (HITL)
2026-06-11 | slice-02 | started
2026-06-11 | slice-02 | done — 21 new unit tests, full suite passes, app launch smoke OK; live API cleanup pending a real key (HITL), fallback path verified
2026-06-20 | slice-03 | started
2026-06-20 | slice-03 | done — floating waveform pill (non-activating NSPanel + live RMS waveform); 24 new unit tests, full suite 59/59, app launch smoke OK; live visual/paste-while-visible pending HITL
2026-06-20 | slice-04 | started
2026-06-20 | slice-04 | done — main window sidebar shell + functional Settings (device picker w/ disconnect fallback, live hotkey/threshold, Keychain API key, cleanup toggle, 30d retention default); slice-02 debug key removed; 12 new unit tests, full suite 71/71, app launch smoke OK; live device-switch/visual pending HITL
2026-06-20 | slice-05 | started
2026-06-20 | slice-05 | done — SQLite history (system SQLite3, no new dep) w/ retention enforcement (off=no write, 7d/30d prune, forever keep); searchable HistoryView w/ copy raw/cleaned + delete + clear all; 13 new tests, full suite 84/84, app launch smoke OK; live UI/copy/delete pending HITL
2026-06-20 | slice-06 | started
2026-06-20 | slice-06 | done — Dictionary manager: JSON-backed DictionaryStore + pure PersonalDictionary helpers; plain terms feed cleanup prompt, replacement pairs rewrite transcript pre-cleanup (survive off/fallback/offline), one-time legacy config.json migration (read-only), case-insensitive duplicate merge; DictionaryView in sidebar; 14 new tests, full suite 98/98, app launch smoke OK; live UI pending HITL
2026-06-21 | slice-07 | started
2026-06-21 | slice-07 | done — Cleanup Mode editor: JSON-backed CleanupModeStore (per-app overrides + custom apps + per-mode prompt edits); CleanModeDetector refactored to builtIns list w/ display names + overrides param (override > bundle map > name fallback); CleanupPrompts gains promptBody override + defaultBody(for:), threaded through TranscriptCleaner seam + DictationController (captured at key-press, applies next dictation); CleanupModesView (per-app mode pickers, Add App from running apps, per-mode TextEditor w/ reset); 10 new tests, full suite 108/108, app launch smoke OK; live UI/picker pending HITL
2026-06-21 | slice-08 | started
2026-06-21 | slice-08 | done — Stats dashboard: pure DictationStats.compute core (total words from raw transcript, time saved at 40 vs 150 wpm, consecutive-day streak with today/yesterday grace, words-per-day); StatsView w/ stat cards + Swift Charts bar chart (last 30 days) + visible wpm assumption; empty state distinguishes history-off vs empty; ComingSoonView placeholder removed; 10 new tests, full suite 118/118, app launch smoke OK; live UI/visual pending HITL
